    0.1 SHS (lvl=0, chld=31, ttl=13157)
        1.1 ANTHRO-BIO (lvl=1, chld=0, ttl=430)
        1.2 ANTHRO-SE (lvl=1, chld=0, ttl=3636)
        1.3 ARCHEO (lvl=1, chld=0, ttl=8005)
        1.4 ARCHI (lvl=1, chld=0, ttl=4569)
        1.5 ART (lvl=1, chld=0, ttl=6032)
        1.6 CLASS (lvl=1, chld=0, ttl=1199)
        1.7 DEMO (lvl=1, chld=0, ttl=417)
        1.8 DROIT (lvl=1, chld=0, ttl=22085)
        1.9 EC (lvl=1, chld=3, ttl=3)
            2.1 EE (lvl=2, chld=0, ttl=1)
            2.2 EG (lvl=2, chld=0, ttl=1)
            2.3 ER (lvl=2, chld=0, ttl=1)
        1.10 ECO (lvl=1, chld=2, ttl=7749)
            2.1 ECO (lvl=2, chld=0, ttl=20)
            2.2 FIN (lvl=2, chld=0, ttl=6)
        1.11 EDU (lvl=1, chld=0, ttl=10440)
        1.12 ENVIR (lvl=1, chld=0, ttl=858)
        1.13 ERGO (lvl=1, chld=0, ttl=0)
        1.14 GENRE (lvl=1, chld=0, ttl=749)
        1.15 GEO (lvl=1, chld=0, ttl=9664)
        1.16 GEST-RISQ (lvl=1, chld=0, ttl=130)
        1.17 GESTION (lvl=1, chld=13, ttl=8045)
            2.1 COMPTA (lvl=2, chld=0, ttl=19)
            2.2 DROIT (lvl=2, chld=0, ttl=14)
            2.3 ENTREP (lvl=2, chld=0, ttl=3)
            2.4 FIN (lvl=2, chld=0, ttl=8)
            2.5 LANG (lvl=2, chld=0, ttl=7)
            2.6 LANGUE (lvl=2, chld=0, ttl=6)
            2.7 MAN-OP (lvl=2, chld=0, ttl=2)
            2.8 MAN-RE (lvl=2, chld=0, ttl=1)
            2.9 MARK (lvl=2, chld=0, ttl=113)
            2.10 ORG (lvl=2, chld=0, ttl=25)
            2.11 RECH-OP (lvl=2, chld=0, ttl=2)
            2.12 STRAT (lvl=2, chld=0, ttl=17)
            2.13 STRAT-POL (lvl=2, chld=0, ttl=4)
        1.18 HISPHILSO (lvl=1, chld=0, ttl=4774)
        1.19 HIST (lvl=1, chld=0, ttl=18090)
        1.20 INFO (lvl=1, chld=22, ttl=6149)
            2.1 AUTR (lvl=2, chld=0, ttl=21)
            2.2 BIBL (lvl=2, chld=0, ttl=42)
            2.3 CINE (lvl=2, chld=0, ttl=3)
            2.4 COLL (lvl=2, chld=0, ttl=6)
            2.5 COMM (lvl=2, chld=0, ttl=51)
            2.6 CONF (lvl=2, chld=0, ttl=2)
            2.7 DOCU (lvl=2, chld=0, ttl=161)
            2.8 DROI (lvl=2, chld=0, ttl=2)
            2.9 ECON (lvl=2, chld=0, ttl=6)
            2.10 EDIT (lvl=2, chld=0, ttl=15)
            2.11 EDUC (lvl=2, chld=0, ttl=33)
            2.12 ESPA (lvl=2, chld=0, ttl=9)
            2.13 GEOP (lvl=2, chld=0, ttl=1)
            2.14 GEST (lvl=2, chld=0, ttl=13)
            2.15 HIST (lvl=2, chld=0, ttl=5)
            2.16 HYPE (lvl=2, chld=0, ttl=10)
            2.17 INGE (lvl=2, chld=0, ttl=10)
            2.18 MEDI (lvl=2, chld=0, ttl=13)
            2.19 MUSE (lvl=2, chld=0, ttl=5)
            2.20 ORGA (lvl=2, chld=0, ttl=27)
            2.21 SOCI (lvl=2, chld=0, ttl=56)
            2.22 THEO (lvl=2, chld=0, ttl=33)
        1.21 LANGUE (lvl=1, chld=8, ttl=12253)
            2.1 HIST (lvl=2, chld=0, ttl=2)
            2.2 LEXICO (lvl=2, chld=0, ttl=1)
            2.3 MORP (lvl=2, chld=0, ttl=1)
            2.4 PRAGMATICS (lvl=2, chld=0, ttl=0)
            2.5 SEMANTICS (lvl=2, chld=0, ttl=2)
            2.6 SOCIO (lvl=2, chld=0, ttl=2)
            2.7 SYNTAX (lvl=2, chld=0, ttl=0)
            2.8 TEXT (lvl=2, chld=0, ttl=1)
        1.22 LITT (lvl=1, chld=0, ttl=15838)
        1.23 MUSEO (lvl=1, chld=0, ttl=621)
        1.24 MUSIQ (lvl=1, chld=0, ttl=3043)
        1.25 PHIL (lvl=1, chld=5, ttl=3918)
            2.1 ACTION (lvl=2, chld=0, ttl=0)
            2.2 LANGUAGE (lvl=2, chld=0, ttl=1)
            2.3 LOGIC (lvl=2, chld=0, ttl=0)
            2.4 METAPHYSICS (lvl=2, chld=0, ttl=1)
            2.5 MIND (lvl=2, chld=0, ttl=0)
        1.26 PSY (lvl=1, chld=0, ttl=2644)
        1.27 RELIG (lvl=1, chld=0, ttl=1958)
        1.28 SCIPO (lvl=1, chld=0, ttl=7169)
        1.29 SOCIO (lvl=1, chld=0, ttl=15785)
        1.30 SPORT (lvl=1, chld=6, ttl=5)
            2.1 DS (lvl=2, chld=0, ttl=7)
            2.2 ECA (lvl=2, chld=0, ttl=5)
            2.3 PS (lvl=2, chld=0, ttl=7)
            2.4 SCS (lvl=2, chld=0, ttl=3)
            2.5 SHPS (lvl=2, chld=0, ttl=19)
            2.6 SS (lvl=2, chld=0, ttl=0)
        1.31 STAT (lvl=1, chld=0, ttl=595)
    0.2 SDV (lvl=0, chld=25, ttl=7820)
        1.1 AEN (lvl=1, chld=0, ttl=919)
        1.2 BA (lvl=1, chld=3, ttl=2176)
            2.1 MVSA (lvl=2, chld=0, ttl=92)
            2.2 ZI (lvl=2, chld=0, ttl=42)
            2.3 ZV (lvl=2, chld=0, ttl=12)
        1.3 BBM (lvl=1, chld=6, ttl=173)
            2.1 BC (lvl=2, chld=0, ttl=76)
            2.2 BM (lvl=2, chld=0, ttl=133)
            2.3 BP (lvl=2, chld=0, ttl=1557)
            2.4 BS (lvl=2, chld=0, ttl=66)
            2.5 GTP (lvl=2, chld=0, ttl=84)
            2.6 MN (lvl=2, chld=0, ttl=4)
        1.4 BC (lvl=1, chld=2, ttl=262)
            2.1 BC (lvl=2, chld=0, ttl=9)
            2.2 IC (lvl=2, chld=0, ttl=11)
        1.5 BDD (lvl=1, chld=3, ttl=2876)
            2.1 EO (lvl=2, chld=0, ttl=7)
            2.2 GAM (lvl=2, chld=0, ttl=1)
            2.3 MOR (lvl=2, chld=0, ttl=6)
        1.6 BDLR (lvl=1, chld=2, ttl=62)
            2.1 RA (lvl=2, chld=0, ttl=0)
            2.2 RS (lvl=2, chld=0, ttl=5)
        1.7 BIBS (lvl=1, chld=0, ttl=78)
        1.8 BID (lvl=1, chld=2, ttl=62)
            2.1 EVO (lvl=2, chld=0, ttl=45)
            2.2 SPT (lvl=2, chld=0, ttl=25)
        1.9 BIO (lvl=1, chld=0, ttl=112)
        1.10 BV (lvl=1, chld=4, ttl=548)
            2.1 AP (lvl=2, chld=0, ttl=26)
            2.2 BOT (lvl=2, chld=0, ttl=107)
            2.3 ECO (lvl=2, chld=0, ttl=1)
            2.4 PEP (lvl=2, chld=0, ttl=38)
        1.11 CAN (lvl=1, chld=0, ttl=333)
        1.12 EE (lvl=1, chld=6, ttl=1784)
            2.1 BIO (lvl=2, chld=0, ttl=5)
            2.2 ECO (lvl=2, chld=0, ttl=112)
            2.3 ECOP (lvl=2, chld=0, ttl=1)
            2.4 IEO (lvl=2, chld=0, ttl=24)
            2.5 MOD (lvl=2, chld=0, ttl=3)
            2.6 SANT (lvl=2, chld=0, ttl=111)
        1.13 ETH (lvl=1, chld=0, ttl=195)
        1.14 GEN (lvl=1, chld=4, ttl=109)
            2.1 GA (lvl=2, chld=0, ttl=1985)
            2.2 GH (lvl=2, chld=0, ttl=29)
            2.3 GPL (lvl=2, chld=0, ttl=26)
            2.4 GPO (lvl=2, chld=0, ttl=16)
        1.15 IB (lvl=1, chld=3, ttl=198)
            2.1 BIO (lvl=2, chld=0, ttl=18)
            2.2 IMA (lvl=2, chld=0, ttl=171)
            2.3 MN (lvl=2, chld=0, ttl=9)
        1.16 IDA (lvl=1, chld=1, ttl=2538)
            2.1 SMA (lvl=2, chld=0, ttl=3)
        1.17 IMM (lvl=1, chld=5, ttl=166)
            2.1 ALL (lvl=2, chld=0, ttl=14)
            2.2 IA (lvl=2, chld=0, ttl=14)
            2.3 II (lvl=2, chld=0, ttl=10)
            2.4 IMM (lvl=2, chld=0, ttl=6)
            2.5 VAC (lvl=2, chld=0, ttl=9)
        1.18 MHEP (lvl=1, chld=18, ttl=6402)
            2.1 AHA (lvl=2, chld=0, ttl=14)
            2.2 CHI (lvl=2, chld=0, ttl=368)
            2.3 CSC (lvl=2, chld=0, ttl=102)
            2.4 DERM (lvl=2, chld=0, ttl=27)
            2.5 EM (lvl=2, chld=0, ttl=55)
            2.6 GEG (lvl=2, chld=0, ttl=257)
            2.7 GEO (lvl=2, chld=0, ttl=870)
            2.8 HEG (lvl=2, chld=0, ttl=36)
            2.9 HEM (lvl=2, chld=0, ttl=37)
            2.10 ME (lvl=2, chld=0, ttl=13)
            2.11 MI (lvl=2, chld=0, ttl=57)
            2.12 OS (lvl=2, chld=0, ttl=41)
            2.13 PED (lvl=2, chld=0, ttl=47)
            2.14 PHY (lvl=2, chld=0, ttl=131)
            2.15 PSM (lvl=2, chld=0, ttl=96)
            2.16 PSR (lvl=2, chld=0, ttl=69)
            2.17 RSOA (lvl=2, chld=0, ttl=23)
            2.18 UN (lvl=2, chld=0, ttl=31)
        1.19 MP (lvl=1, chld=5, ttl=255)
