"Domaine","Support","Année","Nauteurs","Titre"
"Linguistique", "ART", "2000", "1", "La disposition et ses rapports avec l’itération"
"Lettres", "COMM", "2012", "1", "Excursions au pays des merveilles"
"Informatique", "COMM", "2014", "9", "SymbAphidBase : une base de données nouvelle dédiée aux symbiotes de pucerons pour stocker et visualiser les génomes séquencés en standardisant leurs annotations"
"Lettres", "ART", "2006", "1", "Élites maléfiques et complot pédophile : paniques morales autour des enfants"
"Informatique", "COMM", "2013", "4", "Relations de dépendance entre la configuration d'un accident VL-piéton et le déroulement du choc"
"Lettres", "COUV", "2006", "1", "L'envers de l'Histoire contemporaine. Conjurations, complots et sociétés secrètes, moteurs souterrains du récit romanesque romantique"
"Informatique", "ART", "2004", "3", "Analyse par signaux cachés : SPA/DPA : Sécurité et protection dans les systèmes de traitement de l'information"
"Informatique", "COMM", "2000", "3", "Conception Isotropique d'une morphologie parallèle : Application à l'usinage"
"Linguistique", "COUV", "2017", "1", "Frontières linguistiques dans les approches de la langue en théorie et en pratique. L’impact des contextes migratoires pour repenser l’enseignement en France"
"Informatique", "COMM", "2005", "2", "Apprentissage relationnel de motifs temporels"
"Informatique", "ART", "2009", "4", "Caractérisation des systèmes autoguérissants : diagnostiquer ce que l'on va réparer"
"Linguistique", "ART", "2004", "1", "Sur les premiers stades de développement de l’article partitif"
"Lettres", "COMM", "2012", "2", "Mutations culturelles au miroir des collections"
"Linguistique", "ART", "2004", "1", "‘Ce sont des Anglais’ : un accord avec l’attribut (1re partie) ?"
"Informatique", "COMM", "2012", "1", "Diffusion de corpus dans le cadre du Code du patrimoine"
"Linguistique", "COUV", "2015", "1", "Violence verbale au travers des classes ZEP : enjeux des langues et des variations"
"Lettres", "COUV", "2006", "1", "Passions de femmes en mémoire, renommée et histoire d'un homme du XVIe siècle - Les Epistres spiritueles du Bienheureux Jean d'Avila (Paris, 1588)"
"Informatique", "COMM", "2006", "2", "De la granulosité des noyaux d'échantillonnage"
"Lettres", "ART", "2004", "1", "Enfances arthuriennes dans la littérature pour enfants"
"Linguistique", "ART", "2000", "1", "L'autobiographie comme registre littéraire : Ameriketako orhoitzapenak de Jean Etchepare"
"Linguistique", "COUV", "2016", "2", "Que révèlent les parcours et les pratiques des enseignants en classe de français ? Éléments de réflexions sur les conflits cognitifs et méthodologiques face aux traditions didactiques"
"Informatique", "ART", "2008", "2", "Optimisation d'un modèle de planification tactique d'une chaîne logistique de type Flow Shop Hybride"
"Informatique", "COMM", "2016", "3", "Gestion adaptative des ressources radio dans un scénario de coexistence M2M/H2H"
"Linguistique", "ART", "2008", "1", "Analyse de situations de compréhension de l'oral au CM2 : pistes de réflexion pour l'enseignement et la formation."
"Informatique", "ART", "2004", "1", "Un modèle de composants (inter)actifs centré sur les documents"
"Lettres", "ART", "2010", "1", "A Montaigne, annotateur des 'Annales' de Nicole Gilles : pour qui écrivez-vous ?"
"Informatique", "ART", "2014", "1", "Avantages et limites des modèles de caractéristiques dans la modélisation des exigences de variabilité"
"Informatique", "COMM", "1996", "1", "Les trois services du noyau sémantique indispensables a l'IHM"
"Linguistique", "COMM", "2017", "2", "Pour une didactique interculturelle renouvelée du français langue seconde : la place de la littérature de jeunesse"
"Lettres", "COMM", "2009", "1", "Les Indes d'Édouard Glissant, écriture de la mémoire, réécriture de l'Histoire"
"Linguistique", "COUV", "2017", "2", "« multilinguisme »"
"Linguistique", "ART", "2006", "1", "De la création à l'extinction : métaphore(s) et mondes de discours."
"Lettres", "ART", "2007", "1", "Pour une définition du corpus historio-hagiographique de Baudri, archevêque de Dol (1107-1130)"
"Lettres", "ART", "1997", "1", "Les frères ennemis du roman historique. Sur quelques romans des XIXe et XXe siècles consacrés aux guerres de religion"
"Lettres", "COMM", "2012", "1", "Karl Moor, justicier ou aventurier dans Les Brigands de Schiller"
"Lettres", "COUV", "2008", "1", "Recueillement : de Baudelaire à Claude Debussy, Louis Vierne et Jean-Yves Malmasson ; les entrelacs du lointain et du proche"
"Informatique", "COMM", "2010", "4", "Intégration interactive de contraintes pour la réduction de dimensions et la visualisation"
"Linguistique", "COUV", "2015", "1", "Tous pret des boches"
"Linguistique", "COUV", "2014", "1", "Mises en œuvre possibles des approches plurielles dans des contextes sociaux et didactiques résonnants : des terrains de Michel Candelier à ceux des élèves nouvellement arrivés en France (ENA)"
"Linguistique", "COUV", "2011", "1", "Démonstratifs et construction de la référence en kabyle"
"Informatique", "COMM", "2009", "4", "Surveillance de chorégraphies de Web Services basées sur WS-CDL"
"Linguistique", "ART", "2005", "1", "‘Ce sont des Anglais’ : un accord avec l’attribut (2nde partie) ?"
"Informatique", "COMM", "2010", "4", "Etiqueter un corpus oral par apprentissage automatique à l'aide de connaissances linguistiques"
"Informatique", "COMM", "2005", "3", "Extension des bases de données inductives pour la découverte de chroniques avec contraintes temporelles"
"Linguistique", "COMM", "2016", "1", "Les référents évolutifs, objets et objets du discours"
"Linguistique", "ART", "2005", "1", "L’argument davidsonien : un critère de distinction entre les prédicats ‘stage level’ et les prédicats ‘individual level’ ?"
"Linguistique", "ART", "2005", "2", "De la quantification adverbale à la quantification adnominale : perspectives diachroniques"
"Informatique", "COMM", "2009", "4", "Distance de compression et classification prétopologique"
"Informatique", "COMM", "2010", "2", "PretopoLib: la librairie JAVA de la Prétopologie"
"Informatique", "COMM", "2011", "5", "Segmentation d'images multi-bandes par sélection itérative de la combinaison optimale des bandes chromatiques"
"Lettres", "ART", "2006", "1", "Préjugés misogynes et stéréotypes féminins dans Maria Stuart de Schiller  (1801)"
"Lettres", "ART", "2012", "1", "Phèdre janséniste ? retour sur un lieu commun (1)"
"Lettres", "COMM", "2010", "1", "Gaston Miron, la langue agonique"
"Lettres", "ART", "2004", "1", "Ni tout à fait la même, ni tout à fait une autre” : la métamorphose ovidienne"
