hackées|Vmps-pf
hackée|Vmps-sf
hackaient|Vmii3p-
hackais|Vmii1s-
hackais|Vmii2s-
hackait|Vmii3s-
hackai|Vmis1s-
hackâmes|Vmis1p-
hackant|Vmpp---
hackèrent|Vmis3p-
hackassent|Vmsi3p-
hackasses|Vmsi2s-
hackasse|Vmsi1s-
hackassiez|Vmsi2p-
hackassions|Vmsi1p-
hackas|Vmis2s-
hackés|Vmps-pm
hackâtes|Vmis2p-
hackât|Vmsi3s-
hacka|Vmis3s-
hacké|Vmps-sm
hackent|Vmip3p-
hackent|Vmsp3p-
hackeraient|Vmcp3p-
hackerais|Vmcp1s-
hackerais|Vmcp2s-
hackerait|Vmcp3s-
hackerai|Vmif1s-
hackeras|Vmif2s-
hackera|Vmif3s-
hackerez|Vmif2p-
hackeriez|Vmcp2p-
hackerions|Vmcp1p-
hackerons|Vmif1p-
hackeront|Vmif3p-
hacker|Vmn----
hackes|Vmip2s-
hackes|Vmsp2s-
hacke|Vmip1s-
hacke|Vmip3s-
hacke|Vmmp2s-
hacke|Vmsp1s-
hacke|Vmsp3s-
hackez|Vmip2p-
hackez|Vmmp2p-
hackiez|Vmii2p-
hackiez|Vmsp2p-
hackions|Vmii1p-
hackions|Vmsp1p-
hackons|Vmip1p-
hackons|Vmmp1p-
