username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-11-08 00:58;0;2;"Tu as tout résumez # balancetonporc sauf quand il sont beaux goss # hypocrite c'est ça le problème les gens vont finir par penser à raison que les Femmes balance les ageessions et Viol uniquement si le mec est moche";;;# #;"928049171252342784";https://twitter.com/szazez/status/928049171252342784
;2017-11-08 00:58;0;1;"Strong story from @ nytimes new gender editor @ jess7bennett linking # metoo # QuellaVoltaChe and # BalanceTonPorc back to Catherine Mackinnon and Anita Hill https://www.nytimes.com/2017/11/05/us/sexual-harrasment-weinstein-trump.html?emc=edit_nn_20171107&nl=morning-briefing&nlid=82793417&te=1&_r=0 …";;@ @;# # #;"928048978926563328";https://twitter.com/SachaMolitorisz/status/928048978926563328
;2017-11-08 00:57;8;10;". @ MelissaBellCNN reports on # balancetonporc # ExposeYourPig France's # MeToo for sexual harassmenthttp://snpy.tv/2hbE3wM";;@;# # #;"928048822588022784";https://twitter.com/cnntoday/status/928048822588022784
;2017-11-08 00:55;1;5;"Je pense que sur la même voie que # metoo ou # balancetonporc # BalanceTonForum, on devrait faire # balancetoncommissariat pour relever les non-safe.";;;# # # #;"928048399697489920";https://twitter.com/Ellie_Lefevre/status/928048399697489920
;2017-11-08 00:53;0;0;"Bonjour! # balancetonporc le retour du Boss... https://twitter.com/courrierinter/status/928047055276306433 …";;;#;"928047831159595008";https://twitter.com/Putaghjone/status/928047831159595008
;2017-11-08 00:50;0;0;"donc ceux dénoncé sur # balancetonporc c'est ok sauf quand il sont beaux goss # hypocrite... qu'importe que tu sois faible ou puissant un Viol est un Viol. là sur Twitter tu fini par penser que les viols et agressions c'est grave que quand l'agresseur est moche merci la crédibilité";;;# #;"928047009445146624";https://twitter.com/szazez/status/928047009445146624
;2017-11-08 00:43;0;0;"Replay dispo sur # France3 jusqu'au 7.12.2017 du téléfilm "La Consolation" # FlavieFlament # DavidHamilton # Pédocriminalité # MeToo # BalanceTonPorc # Pédophilie # DélaisdePrescription # Justicehttps://www.france.tv/series-et-fictions/telefilms/311583-la-consolation.html …";;;# # # # # # # # #;"928045353051533313";https://twitter.com/jchernandezjazz/status/928045353051533313
;2017-11-08 00:42;0;1;"Avec les 280 caractères, on va quitter de # balancetonporc à # BalanceTaPorcherie faudra pas faire biiip";;;# #;"928044960175284229";https://twitter.com/sibericoo/status/928044960175284229
;2017-11-08 00:37;0;0;"# balanceTonPorc @ Clem_Autain ou pas?";;@;#;"928043648125632512";https://twitter.com/CosmoPolype/status/928043648125632512
;2017-11-08 00:36;0;0;"# balancetamafia # MeToo # balancetonporc # cartel # mafia # pillage # ParadisePapershttps://twitter.com/France2tv/status/927946681005543424 …";;;# # # # # # #;"928043469754523648";https://twitter.com/eustache_luigy/status/928043469754523648
;2017-11-08 00:36;0;0;"# balancetonporc : de Mahomet à Tariq Ramadan https://www.dreuz.info/2017/11/05/balancetonporc-de-mahomet-a-tariq-ramadan/ …";;;#;"928043416948264960";https://twitter.com/Georges9133/status/928043416948264960
;2017-11-08 00:19;0;1;"# balancetonporc @ OL arrête ca stp";;@;#;"928039174472699910";https://twitter.com/OLhope21/status/928039174472699910
;2017-11-08 00:16;0;0;"@ afpfr Qui sont les individus autorisés à passer sur les médias? Pourquoi veulent ils détruire la France systématiquement? # balancetonporc https://twitter.com/IanBrossat/status/927981083383169024 …";;@;#;"928038382785257472";https://twitter.com/eustache_luigy/status/928038382785257472
;2017-11-08 00:16;0;1;"Une alternative plus sereine que # BalanceTonPorc et plus efficace que # moiaussi ou # metoo ... # SuisJeSeule... http://fb.me/1KqDvjPEc";;;# # # #;"928038376607047681";https://twitter.com/ba6c/status/928038376607047681
;2017-11-08 00:10;0;0;"L'omerta, tjs l'omerta, yc dans le système scolaire suisse. # TariqRamadan # MeToo # balancetonporc https://twitter.com/tdgch/status/928023525880840193 …";;;# # #;"928036952049356801";https://twitter.com/RoxaneRoxane31/status/928036952049356801
;2017-11-08 00:08;0;1;"Tu as tout compris # balancetonporc sauf quand il sont beaux goss # hypocrite voilà le problème ici, ceux qui sont dénoncé sont moche";;;# #;"928036542429519872";https://twitter.com/szazez/status/928036542429519872
;2017-11-08 00:06;0;0;"Hahahaha de quoi casser le rythme de # balancetonporc # pathetiquehttps://twitter.com/20minutes/status/928034473349967873 …";;;# #;"928035991260160001";https://twitter.com/oxydant2015/status/928035991260160001
;2017-11-08 00:05;1;3;"Les meufs qui défendent Chuck Bass/Ed winstick parce qu'il est beau mais c'est les première à tweeter # metoo ou # balancetonporc gros lol";;;# #;"928035784216760320";https://twitter.com/GeekArashi/status/928035784216760320
;2017-11-07 23:58;0;0;"# balancetonporc # feminisme # MeToo @ EmmanuelMacron l'hommage à # Polanski inadmissible # MarleneSchiappa @ FrancoiseNyssen # harcelement # EgaliteFH # femmes # victimes # enfantshttps://twitter.com/sabloom1/status/928031770905403393 …";;@ @;# # # # # # # # # #;"928034030003552257";https://twitter.com/sabloom1/status/928034030003552257
;2017-11-07 23:56;18;34;"[TW SEXISME, PROPOS À CONNOTATION SEXUELLE] "S'il dit ça à 16 ans, j'imagine plus tard..." # balancetonporc pic.twitter.com/DMdGc8KIQz";;;#;"928033532601040896";https://twitter.com/1jour1temoin/status/928033532601040896
;2017-11-07 23:56;1;0;"Quelqu'un a pensé à dénoncer Brad Pitt contre un peu de pub ou un petit billet ? # balancetonporc # balancetamythohttps://twitter.com/20minutes/status/928029234496405506 …";;;# #;"928033369732075520";https://twitter.com/oreliamarie/status/928033369732075520
;2017-11-07 23:55;0;0;"# pedophile # balancetonporc # medias Pourquoi les pédophiles pervers narcissiques ont-ils grande tribune en France ? https://fr.m.wikipedia.org/wiki/Patrick_Font …";;;# # #;"928033293152477191";https://twitter.com/eustache_luigy/status/928033293152477191
;2017-11-07 23:47;0;0;"Enfin !! # balancetonporc # MeToohttp://bit.ly/2j7fntQ";;;# #;"928031152811757568";https://twitter.com/RoxaneRoxane31/status/928031152811757568
;2017-11-07 23:43;0;0;"oups ma mère pleure merci # balancetonporc";;;#;"928030236385726464";https://twitter.com/klemkzo/status/928030236385726464
;2017-11-07 23:42;1;4;"Pauvre petit @ edwyplenel... Tu mérite le # balancetonporc pour avoir fermé les yeux sur ce que tu savait.";;@;#;"928030030923431936";https://twitter.com/Pk1pseudo/status/928030030923431936
;2017-11-07 23:42;0;0;"# balancetonporc mon grand-père et mon arrière-grand-père";;;#;"928030008320446464";https://twitter.com/klemkzo/status/928030008320446464
;2017-11-07 23:41;0;3;"Elle mériterait un # balancetonporc https://twitter.com/lolomart1/status/928011301321936898 …";;;#;"928029731634778113";https://twitter.com/jabial/status/928029731634778113
;2017-11-07 23:40;0;0;"# balancetonporc https://twitter.com/comoresinfos/status/927219477141381120 …";;;#;"928029385684340738";https://twitter.com/Kollosall/status/928029385684340738
;2017-11-07 23:38;0;0;"# balancetonporc https://twitter.com/LinoTreize/status/928027405071081473 …";;;#;"928029028887482369";https://twitter.com/Kollosall/status/928029028887482369
;2017-11-07 23:37;0;0;"# balancetonporc https://twitter.com/audreypatriote/status/928015734697062400 …";;;#;"928028713672957953";https://twitter.com/ludocabannes/status/928028713672957953
;2017-11-07 23:35;10;18;"Comme ici en fait ! # EtatsUnis # Israël # Médias # People # Presse # Weinstein # MOSSAD # balancetonporc https://www.egaliteetreconciliation.fr/Weinstein-utilise-le-MOSSAD-pour-faire-taire-ses-victimes-48376.html …";;;# # # # # # # #;"928028285912715265";https://twitter.com/AlainSoralOffic/status/928028285912715265
;2017-11-07 23:35;0;0;"« Parler c’est être en paix avec soi-même » @ Flavie Flament # laparoleselibere # balancetonporc";;@;# #;"928028237564989441";https://twitter.com/CorinneLalance/status/928028237564989441
;2017-11-07 23:34;0;1;"# balancetonporc";;;#;"928027884161249281";https://twitter.com/edgaarito/status/928027884161249281
;2017-11-07 23:33;1;1;"@ edwyplenel @ mediapart Edwy... bien fait pour ta geule .. alors cela fait quoi de voir la vérité qui éclate?? # balancetonporc pic.twitter.com/8kiMukE74a";;@ @;#;"928027730112892929";https://twitter.com/Pk1pseudo/status/928027730112892929
;2017-11-07 23:33;1;1;""Les femmes sont des bijoux dont la convoitise trop souvent attise les mauvais esprits." # balancetonporc";;;#;"928027652514041861";https://twitter.com/AlieDepedro/status/928027652514041861
;2017-11-07 23:30;1;1;"http://m.huffingtonpost.fr/alexia-cassar/pourquoi-il-est-essentiel-de-pouvoir-a-nouveau-montrer-des-seins-et-des-tetons-sur-les-reseaux-sociaux_a_23269037/ … # balancetonporc # signalement de compte # Instagram # metoo # RT";;;# # # # #;"928026802504830977";https://twitter.com/ac95677/status/928026802504830977
;2017-11-07 23:29;1;1;"http://mobile.francetvinfo.fr/societe/harcelement-sexuel/je-suis-la-victime-ariane-fornia-maintient-ses-accusations-d-agression-sexuelle-contre-pierre-joxe_2456236.amp … Tu as raison Ariane,ne lâche pas sous les menaces... # balancetonporc # Joxe";;;# #;"928026723924488192";https://twitter.com/polidor245/status/928026723924488192
;2017-11-07 23:27;0;1;"En 2017 je plains les juges qui se tapent que des vieilles affaires de viols entre stars # BalanceTonPorc";;;#;"928026174474866688";https://twitter.com/sofiane_janati/status/928026174474866688
;2017-11-07 23:27;0;0;"http://m.leparisien.fr/amp/societe/elle-contraint-l-avion-a-atterrir-apres-avoir-decouvert-l-infidelite-de-son-mari-07-11-2017-7378080.php … Un couple iranien faut le bordel dans un avion, est débarqué mais aucune ne sera retenue contre eux # balancetonporc # Islam";;;# #;"928026170603556864";https://twitter.com/polidor245/status/928026170603556864
;2017-11-07 23:27;0;0;"Ca peut créer des liens ou un proces # balancetonporc";;;#;"928026044791185409";https://twitter.com/resistance75/status/928026044791185409
;2017-11-07 23:21;5;0;"Brahim Ghali SG de la guérilla algérienne # polisario poursuivi à # Madrid pour crimes contre l’humanité&abus sexuels # Metoo # BalanceTonPorc pic.twitter.com/4UdSqbqfHO";;;# # # #;"928024558489174022";https://twitter.com/CORCAS_AUTONOMY/status/928024558489174022
